name,twitter,Political group,Nationality
ADAKTUSSON Lars,Ladaktusson,EPP,Slovenia
SVOBODA Pavel,1PavelSvoboda,ALDE,Czech Republic
CHAUPRADE Aymeric,a_chauprade,GUE,Netherlands
JONGERIUS Agnes,a_jongerius,GUE,Spain
COZZOLINO Andrea,ACozzolino,Greens,Germany
GIEREK Adam,AdamGierek,EPP,France
KÓSA Ádám,adamkosamep,ALDE,Lithuania
VĂLEAN Adina Ioana,AdinaValean,EPP,Ireland
KHAN Afzal,akhanmep,S&D,Spain
CADEC Alain,AlainCadec,GUE,Spain
LAMASSOURE Alain,ALamassoure,ALDE,Belgium
DESS Albert,Albert_Dess_MEP,EPP,iy
CIRIO Alberto,Alberto_Cirio,EPP,France
MUSSOLINI Alessandra,Ale_Mussolini_,NI (Jobbik Magyarorszagert Mozgalom),Hungary
MOSCA Alessia Maria,alessiamosca,Greens,Croatia
SMITH Alyn,AlynSmithMEP,ECR,Bulgaria
BASHIR Amjad,AmjadBashirMEP,NI (Front National),France
GOMES Ana,AnaGomesMEP,EPP,Finland
VISTISEN Anders Primdahl,AndersVistisen,S&D,Germany
SCHWAB Andreas,Andreas_Schwab,S&D,Italy
PLENKOVIĆ Andrej,AndrejPlenkovic,NI (Jobbik Magyarorszagert Mozgalom),Hungary
KOVATCHEV Andrey,andreykovatchev,Greens,Sweden
ANDRIEU Eric,ANDRIEU11,S&D,France
ANDROULAKIS Nikos,androulakisnick,S&D,Romania
DUDA Andrzej Sebastian,AndrzejDuda,EFDD,Italy
VALLINA Ángela,AngelaVallina,S&D,Malta
MLINAR Angelika,AngelikaMlinar,ALDE,Romania
NIEBLER Angelika,ANiebler,EPP,Ireland
HAZEKAMP Anja,anjahazekamp,GUE,Netherlands
HEDH Anna q,AnnaHedh,EPP,Malta
CORAZZA BILDT Anna Maria,AnnaMariaCB,NI (Kongres Nowej Prawicy),Poland
ZÁBORSKÁ Anna,AnnaZaborska,ALDE,Czech Republic
DODDS Anneliese,AnnelieseDodds,ALDE,Netherlands
MINEUR Anne Marie,AnneMarieMineur,GUE,Germany
SCHREIJER PIERIK Annie,AnnieSchreijer,EPP,Italy
NÍ RIADA Liadh,anpreachan,NI (Vlaams Belang),Belgium
ANSIP Andrus,Ansip_EU,EPP,Ireland
McINTYRE Anthea,anthea_mcintyre,EPP,Hungary
TAJANI Antonio,Antonio_Tajani,EFDD,Lithuania
PANZERI Pier Antonio,AntonioPanzeri,S&D,UK
DANJEAN Arnaud,ArnaudDanjean,EPP,Germany
LIETZ Arne,ArneLietz,NI (Lega Nord),Italy
SANDER Anne,ASanderMEP,NI (Popular Association -Golden Dawn),Greece
FOX Ashley,Ashleyfoxmep,NI (Nationaldemokratische Partei Deutschlands),Germany
VOSS Axel,AxelVossMdEP,S&D,Spain
AYUSO Pilar,ayuso_pilar,S&D,Lithuania
BALAS Guillaume,BalasGuillaume,EPP,Germany
BALČYTIS Zigmantas,balcytis,ECR,Poland
KUDRYCKA Barbara,BarbaraKudrycka,EPP,Greece
STAES Bart,BartStaes,EPP,Germany
EICKHOUT Bas,BasEickhout,EPP,Spain
GOSIEWSKA Beata Barbara,BeataGosiewska,EPP,Romania
STORCH Beatrix von,Beatrix_vStorch,ALDE,UK
BECERRA BASTERRECHEA Beatriz,beatrizbeccerab,EPP,Austria
BEGHIN Tiziana,beghin_t,EPP,Belgium
BENDTSEN Bendt,BendtEU,S&D,Hungary
MONOT Bernard,bernard_monot,EPP,Lithuania
LANGE Bernd,berndlange,EPP,Spain
LUCKE Bernd,BerndLucke,EFDD,Italy
BORZAN Biljana,BiljanaBorzan,S&D,UK
SIPPEL Birgit,BirgitSippelMEP,EFDD,UK
OŻÓG Stanisław,biuroposelskie,ECR,UK
LIBERADZKI Bogusław,BLiberadzki,EPP,Germany
LOCHBIHLER Barbara,blochbihler,ALDE,France
CEBALLOS Bodil,BodilCeballos,EPP,Poland
BORGHEZIO Mario,BorrogohezioM,EPP,Denmark
BENIFEI Brando Maria,brandobenifei,S&D,Germany
SKRIPEK Branislav,BranoSkripek,Greens,Finland
HAYES Brian,brianhayesMEP,EFDD,UK
HORTEFEUX Brice,BriceHortefeux,ALDE,Luxembourg
GOLLNISCH Bruno,brunogollnisch,NI (Jobbik Magyarorszagert Mozgalom),Hungary
BALZ Burkhard,buba0769,EPP,Germany
BÜTIKOFER Reinhard,bueti,S&D,Germany
BUONANNO Gianluca,BuonannoG,EPP,Czech Republic
ZDROJEWSKI Bogdan Andrzej,BZdrojewski,EPP,Croatia
STIHLER Catherine,C_Stihler_MEP,S&D,Italy
COUSO PERMUY Javier,Caninator,EFDD,UK
COELHO Carlos,CarlosCoelhoPE,EPP,Malta
CASPARY Daniel,caspary,S&D,Bulgaria
IVAN Cătălin Sorin,Catalin_Ivan,S&D,Ireland
CHINNICI Caterina,CaterinaChinnic,S&D,Belgium
BEARDER Catherine,catherinemep,EPP,Germany
REVAULT D'ALLONNES BONNEFOY Christine,cdallonnes,S&D,Sweden
PREDA Cristian Dan,CDPreda,EPP,Germany
WIKSTRÖM Cecilia,CeciliaWikstrom,NI (Front National),France
GOERENS Charles,CharlesGoerens,S&D,Netherlands
TANNOCK Charles,CharlesTannock,GUE,Greece
KYENGE Kashetu,ckyenge,EFDD,UK
AGUILERA GARCÃA Clara Eugenia,ClaraAguilera7,NI (Front National),France
MOODY Clare,ClareMMoody,NI (Front National),France
TURMES Claude,Claude_Turmes,S&D,UK
MORAES Claude,ClaudeMoraesMEP,ALDE,Denmark
ROLIN Claude,clauderolin,EPP,France
LE GRIP Constance,clegrip,NI (Front National),France
MONTEIRO DE AGUIAR Cláudia,cmonteiroaguiar,EPP,Portugal
COFFERATI Sergio Gaetano,Cofferati,EFDD,UK
COMI Lara,comilara,EPP,Italy
COMODINI CACHIA Therese,ComodiniCachia,ECR,Poland
KREHL Constanze,ConstanzeKrehl,ECR,Ireland
CSÁKY Pál,csakypal,EPP,Bulgaria
MALTESE Curzio,curziomaltesetw,EPP,Czech Republic
NIEUWENHUIZEN Cora van,CvNieuwenhuizen,ECR,Slovakia
ZORRINHO Carlos,czorrinho,EFDD,UK
SIEKIERSKI Czesław Adam,CzSiekierski,EPP,Portugal
SÂRBU Daciana Octavia,DacianaSarbu,EPP,Germany
DEUTSCH Tamás,dajcstomi,NI (Front National),France
DRĂGHICI Damian,damiandraghici1,EPP,Hungary
HANNAN Daniel,DanHannanMEP,S&D,Spain
AIUTO Daniela,DanielaAiuto,Greens,Germany
BUDA Daniel,DanielBudaRo,NI (Freiheitliche Partei Osterreichs),Austria
VIOTTI Daniele,danieleviotti,EPP,France
DANTI Nicola,DantiNicola,ECR,UK
HÜBNER Danuta Maria,danutahuebner,Greens,Lithuania
ROSATI Dariusz,DariuszRosati,EFDD,UK
