name,gender,score,emails,country,group,bxl building id,bxl building name,bxl floor,bxl office number,bxl fax,bxl phone1,bxl phone2,stg building id,stg building name,stg floor,stg office number,stg fax,stg phone1,stg phone2
Sylviane H. AINARDI,F,,,France,GUE/NGL,,,,,,,,,,,,,,
Alexandros ALAVANOS,M,,,Greece,GUE/NGL,,,,,,,,,,,,,,
Konstantinos ALYSSANDRAKIS,M,,,Greece,GUE/NGL,,,,,,,,,,,,,,
Martina ANDERSON,F,60,martina.anderson@europarl.europa.eu,United Kingdom,GUE/NGL,ASP,Altiero Spinelli,07,F247,+322 28 49222,+322 28 45222,+322 28 47222,LOW,Louise Weiss,T05,011,+333 88 1 79222,+333 88 1 75222,+333 88 1 77222
Charalampos ANGOURAKIS,M,59,charalampos.angourakis@europarl.europa.eu,Greece,GUE/NGL,ASP,Altiero Spinelli,07,F359,+322 28 49911,+322 28 45911,+322 28 47911,LOW,Louise Weiss,T05,009,+333 88 1 79911,+333 88 1 75911,+333 88 1 77911
Emmanouil BAKOPOULOS,M,,,Greece,GUE/NGL,,,,,,,,,,,,,,
Fausto BERTINOTTI,M,,,Italy,GUE/NGL,,,,,,,,,,,,,,
Freddy BLAK,M,,,Denmark,GUE/NGL,,,,,,,,,,,,,,
Armonia BORDES,F,,,France,GUE/NGL,,,,,,,,,,,,,,
Yasmine BOUDJENAH,F,,,France,GUE/NGL,,,,,,,,,,,,,,
Luciana CASTELLINA,F,,,Italy,GUE/NGL,,,,,,,,,,,,,,
Gérard CAUDRON,M,,gcaudron@nordnet.fr,France,GUE/NGL,,,,,,,,,,,,,,
Chantal CAUQUIL,F,,,France,GUE/NGL,,,,,,,,,,,,,,
Nikolaos CHOUNTIS,M,65,nikolaos.chountis@europarl.europa.eu,Greece,GUE/NGL,ASP,Altiero Spinelli,07,F243,+322 28 49663,+322 28 45663,+322 28 47663,LOW,Louise Weiss,T05,016,+333 88 1 79663,+333 88 1 75663,+333 88 1 77663
Doros CHRISTODOULIDIS,M,,,Cyprus,GUE/NGL,,,,,,,,,,,,,,
Kenneth COATES,M,,,United Kingdom,GUE/NGL,,,,,,,,,,,,,,
María Luisa BERGAZ CONESA,F,,,Spain,GUE/NGL,,,,,,,,,,,,,,
Armando COSSUTTA,M,,,Italy,GUE/NGL,,,,,,,,,,,,,,
Mireille C. ELMALAN,F,,,France,GUE/NGL,,,,,,,,,,,,,,
Vassilis EPHREMIDIS,M,,,Greece,GUE/NGL,,,,,,,,,,,,,,
Marianne ERIKSSON,F,,,Sweden,GUE/NGL,,,,,,,,,,,,,,
Cornelia ERNST,F,61,cornelia.ernst@europarl.europa.eu,Germany,GUE/NGL,ASP,Altiero Spinelli,06,F154,+322 28 49660,+322 28 45660,+322 28 47660,LOW,Louise Weiss,T05,026,+333 88 1 79660,+333 88 1 75660,+333 88 1 77660
João FERREIRA,M,66,joao.ferreira@europarl.europa.eu,Portugal,GUE/NGL,ASP,Altiero Spinelli,06,F343,+322 28 49651,+322 28 45651,+322 28 47651,LOW,Louise Weiss,T05,004,+333 88 1 79651,+333 88 1 75651,+333 88 1 77651
Christel FIEBIGER,F,,,Germany,GUE/NGL,,,,,,,,,,,,,,
Pernille FRAHM,F,,,Denmark,GUE/NGL,,,,,,,,,,,,,,
Geneviève FRAISSE,F,,,France,GUE/NGL,,,,,,,,,,,,,,
Corrado GABRIELE,M,,,Italy,GUE/NGL,,,,,,,,,,,,,,
Laura GONZÁLEZ ÁLVAREZ,F,,,Spain,GUE/NGL,,,,,,,,,,,,,,
Mikael GUSTAFSSON,M,61,mikael.gustafsson@europarl.europa.eu,Sweden,GUE/NGL,ASP,Altiero Spinelli,07,F266,+322 28 49105,+322 28 45105,+322 28 47105,LOW,Louise Weiss,T06,047,+333 88 1 79105,+333 88 1 75105,+333 88 1 77105
Antoni GUTIÉRREZ DÍAZ,M,,,Spain,GUE/NGL,,,,,,,,,,,,,,
Lilli GYLDENKILDE,F,,,Denmark,GUE/NGL,,,,,,,,,,,,,,
Takis HADJIGEORGIOU,M,67,takis.hadjigeorgiou@europarl.europa.eu,Cyprus,GUE/NGL,ASP,Altiero Spinelli,06,F353,+322 28 49657,+322 28 45657,+322 28 47657,LOW,Louise Weiss,T05,023,+333 88 1 79657,+333 88 1 75657,+333 88 1 77657
Thomas HÄNDEL,M,57,thomas.haendel@europarl.europa.eu,Germany,GUE/NGL,ASP,Altiero Spinelli,06,F259,+322 28 49658,+322 28 45658,+322 28 47658,LOW,Louise Weiss,T05,018,+333 88 1 79658,+333 88 1 75658,+333 88 1 77658
Jacky HÉNIN,M,84,jacky.henin@europarl.europa.eu,France,GUE/NGL,ASP,Altiero Spinelli,07,F167,+322 28 49180,+322 28 45180,+322 28 47180,LOW,Louise Weiss,T05,015,+333 88 1 79180,+333 88 1 75180,+333 88 1 77180
Philippe A.R. HERZOG,M,,,France,GUE/NGL,,,,,,,,,,,,,,
Robert HUE,M,,,France,GUE/NGL,,,,,,,,,,,,,,
Bengt HURTIG,M,,,Sweden,GUE/NGL,,,,,,,,,,,,,,
Inna ILIVITZKY,F,,,Finland,GUE/NGL,,,,,,,,,,,,,,
Michel J.M. DARY,M,,,France,GUE/NGL,,,,,,,,,,,,,,
Cornelis de JONG,M,67,dennis.dejong@europarl.europa.eu,Netherlands,GUE/NGL,ASP,Altiero Spinelli,07,F254,+322 28 49664,+322 28 45664,+322 28 47664,LOW,Louise Weiss,T05,086,+333 88 1 79664,+333 88 1 75664,+333 88 1 77664
Jürgen KLUTE,M,68,juergen.klute@europarl.europa.eu,Germany,GUE/NGL,ASP,Altiero Spinelli,06,F254,+322 28 49655,+322 28 45655,+322 28 47655,LOW,Louise Weiss,T05,010,+333 88 1 79655,+333 88 1 75655,+333 88 1 77655
Jaromír KOHLÍČEK,M,77,jaromir.kohlicek@europarl.europa.eu,Czech Republic,GUE/NGL,ASP,Altiero Spinelli,07,F136,+322 28 49497,+322 28 45497,+322 28 47497,LOW,Louise Weiss,T05,143,+333 88 1 79497,+333 88 1 75497,+333 88 1 77497
Kateřina KONEČNÁ,F,,,Czech Republic,GUE/NGL,,,,,,,,,,,,,,
Efstratios KORAKAS,M,,,Greece,GUE/NGL,,,,,,,,,,,,,,
Dimitrios KOULOURIANOS,M,,,Greece,GUE/NGL,,,,,,,,,,,,,,
Ole KRARUP,M,,,Denmark,GUE/NGL,,,,,,,,,,,,,,
